[20:24:27] 待翻 1079（名稱類 715、長文 364），已有 0
[20:41:54]   agy 未產出檔案 (5s) stdout尾: ''
[20:41:59]   agy 未產出檔案 (5s) stdout尾: ''
[20:42:04]   agy 未產出檔案 (5s) stdout尾: ''
[20:42:11]   agy 未產出檔案 (7s) stdout尾: ''
[20:42:17]   agy 未產出檔案 (6s) stdout尾: ''
[20:42:22]   agy 未產出檔案 (5s) stdout尾: ''
[20:42:26]   agy 未產出檔案 (4s) stdout尾: ''
[20:42:31]   agy 未產出檔案 (5s) stdout尾: ''
[20:42:37]   agy 未產出檔案 (6s) stdout尾: ''
[20:42:42]   agy 未產出檔案 (5s) stdout尾: ''
[20:42:47]   agy 未產出檔案 (5s) stdout尾: ''
[20:42:53]   agy 未產出檔案 (5s) stdout尾: ''
[20:42:58]   agy 未產出檔案 (5s) stdout尾: ''
[20:43:05]   agy 未產出檔案 (7s) stdout尾: ''
[20:43:10]   agy 未產出檔案 (5s) stdout尾: ''
[20:43:18]   agy 未產出檔案 (8s) stdout尾: ''
[20:43:22]   agy 未產出檔案 (5s) stdout尾: ''
