path	bytes	description_key	width	height	plots	world_size	players	starts	cities	units	civs_top	unit_types_top	terrain_top	feature_top	bonus_top	improvement_top
Assets/XML/Scenarios/Into the Desert Malakim.CivBeyondSwordWBSave	230934	TXT_KEY_WB_INTO_THE_DESERT_DESC	56	36	2016	WORLDSIZE_STANDARD	35	6	20	108	NONE:29, CIVILIZATION_MALAKIM:2, CIVILIZATION_CALABIM:1, CIVILIZATION_ELOHIM:1, CIVILIZATION_SVARTALFAR:1, CIVILIZATION_KHAZAD:1	UNIT_ARCHER_SCORPION_CLAN:12, UNIT_LION:9, UNIT_ARCHER:9, UNIT_HILL_GIANT:8, UNIT_SWORDSMAN:7, UNIT_LONGBOWMAN:6, UNIT_WORKER:5, UNIT_AXEMAN:4	TERRAIN_GRASS:662, TERRAIN_PLAINS:376, TERRAIN_DESERT:360, TERRAIN_COAST:344, TERRAIN_OCEAN:237, TERRAIN_TUNDRA:28, TERRAIN_SNOW:6, TERRAIN_MARSH:3	FEATURE_FOREST:198, FEATURE_FLOOD_PLAINS:57, FEATURE_FOREST_NEW:53, FEATURE_SCRUB:38, FEATURE_JUNGLE:17, FEATURE_OASIS:16, FEATURE_ICE:5	BONUS_MANA:11, BONUS_CRAB:11, BONUS_FISH:11, BONUS_COW:10, BONUS_WINE:8, BONUS_COPPER:7, BONUS_MARBLE:7, BONUS_GOLD:7	IMPROVEMENT_TOWER:6, IMPROVEMENT_BARROW:5, IMPROVEMENT_LION_DEN:5, IMPROVEMENT_BEAR_DEN:4, IMPROVEMENT_DUNGEON:4, IMPROVEMENT_COTTAGE:4, IMPROVEMENT_GOBLIN_FORT:3, IMPROVEMENT_CAMP:3
Assets/XML/Scenarios/Lord of the Balors.CivBeyondSwordWBSave	397761	TXT_KEY_WB_LORD_OF_THE_BALORS_DESC	84	52	4368	WORLDSIZE_LARGE	35	5	3	38	NONE:24, CIVILIZATION_INFERNAL:7, CIVILIZATION_MALAKIM:1, CIVILIZATION_BANNOR:1, CIVILIZATION_BALSERAPHS:1, CIVILIZATION_MERCURIANS:1	UNIT_ARCHER:6, UNIT_WORKER:5, UNIT_GALLEON:4, UNIT_SETTLER:4, UNIT_SUPPLIES:4, UNIT_PIT_BEAST:4, UNIT_BALOR:4, UNIT_WRAITH:4	TERRAIN_BROKEN_LANDS:2442, TERRAIN_COAST:500, TERRAIN_OCEAN:362, TERRAIN_FIELDS_OF_PERDITION:241, TERRAIN_BURNING_SANDS:219, TERRAIN_PLAINS:168, TERRAIN_MARSH:123, TERRAIN_SHALLOWS:109	FEATURE_FALLOUT:343, FEATURE_FOREST:15, FEATURE_FLOOD_PLAINS:13, FEATURE_FOREST_NEW:11, FEATURE_TORMENTED_SOULS:7, FEATURE_OASIS:3	BONUS_MANA_DEATH:1	IMPROVEMENT_WARNING_POST:4, IMPROVEMENT_JUNGLE_ALTAR:2, IMPROVEMENT_SNAKE_PILLAR:2, IMPROVEMENT_CAGE:1, IMPROVEMENT_MONSTER_SKELETON:1
Assets/XML/Scenarios/Mulcarn Reborn.CivBeyondSwordWBSave	392986	TXT_KEY_WB_MULCARN_REBORN_DESC	84	52	4368	WORLDSIZE_LARGE	35	10	10	64	NONE:25, CIVILIZATION_ILLIANS:4, CIVILIZATION_DOVIELLO:3, CIVILIZATION_HIPPUS:1, CIVILIZATION_LANUN:1, CIVILIZATION_BANNOR:1	UNIT_WORKER:11, UNIT_JAVELIN_THROWER:11, UNIT_GOBLIN_SCORPION_CLAN:5, UNIT_POLAR_BEAR:5, UNIT_WOLF:5, UNIT_GALLEY:4, UNIT_ARCHER:3, UNIT_HUNTER:3	TERRAIN_OCEAN:2320, TERRAIN_GRASS:698, TERRAIN_COAST:598, TERRAIN_PLAINS:413, TERRAIN_TUNDRA:179, TERRAIN_SNOW:107, TERRAIN_DESERT:31, TERRAIN_MARSH:22	FEATURE_FOREST:415, FEATURE_ICE:320, FEATURE_JUNGLE:86, FEATURE_FLOOD_PLAINS:10, FEATURE_OASIS:1		
Assets/XML/Scenarios/Return of Winter.CivBeyondSwordWBSave	175040	TXT_KEY_WB_RETURN_OF_WINTER_DESC	52	32	1664	WORLDSIZE_SMALL	35	6	7	49	NONE:29, CIVILIZATION_DOVIELLO:1, CIVILIZATION_ILLIANS:1, CIVILIZATION_BANNOR:1, CIVILIZATION_ELOHIM:1, CIVILIZATION_KURIOTATES:1	UNIT_WARRIOR:18, UNIT_SCOUT:9, UNIT_SETTLER:6, UNIT_POLAR_BEAR:4, UNIT_BEASTMAN:4, UNIT_SKELETON:4, UNIT_LUCIAN:1, UNIT_WOLF:1	TERRAIN_SNOW:692, TERRAIN_TUNDRA:412, TERRAIN_COAST:232, TERRAIN_GRASS:225, TERRAIN_PLAINS:103	FEATURE_FOREST:407, FEATURE_ICE:142, FEATURE_BLIZZARD:9, FEATURE_JUNGLE:7, FEATURE_VOLCANO:3	BONUS_MANA_ICE:1	IMPROVEMENT_PENGUINS:3, IMPROVEMENT_FORT:3, IMPROVEMENT_CITY_RUINS:2, IMPROVEMENT_LETUM_FRIGUS:1, IMPROVEMENT_CASTLE:1
Assets/XML/Scenarios/The Black Tower.CivBeyondSwordWBSave	376018	TXT_KEY_WB_THE_BLACK_TOWER_DESC	84	52	4368	WORLDSIZE_LARGE	35	7	9	26	NONE:28, CIVILIZATION_SHEAIM:4, CIVILIZATION_LANUN:1, CIVILIZATION_INFERNAL:1, CIVILIZATION_CLAN_OF_EMBERS:1	UNIT_ARCHER:15, UNIT_WORKER:3, UNIT_SUPPLIES:3, UNIT_SETTLER:3, UNIT_ABASHI:1, UNIT_GALLEON:1	TERRAIN_OCEAN:2416, TERRAIN_COAST:612, TERRAIN_PLAINS:432, TERRAIN_GRASS:423, TERRAIN_DESERT:302, TERRAIN_BROKEN_LANDS:102, TERRAIN_MARSH:35, TERRAIN_FIELDS_OF_PERDITION:16	FEATURE_ICE:315, FEATURE_FOREST:271, FEATURE_JUNGLE:58, FEATURE_FLOOD_PLAINS:53, FEATURE_SCRUB:6, FEATURE_OASIS:5		
Assets/XML/Scenarios/The Cult.CivBeyondSwordWBSave	177360	TXT_KEY_WB_THE_CULT_DESC	52	32	1664	WORLDSIZE_STANDARD	35	5	9	41	NONE:30, CIVILIZATION_ILLIANS:1, CIVILIZATION_DOVIELLO:1, CIVILIZATION_HIPPUS:1, CIVILIZATION_KURIOTATES:1, CIVILIZATION_SHEAIM:1	UNIT_ARCHER:13, UNIT_SWORDSMAN:6, UNIT_PYRE_ZOMBIE:6, UNIT_SKELETON:4, UNIT_JAVELIN_THROWER:2, UNIT_PIT_BEAST:2, UNIT_OGRE:2, UNIT_HORSEMAN:1	TERRAIN_BROKEN_LANDS:417, TERRAIN_GRASS:342, TERRAIN_PLAINS:293, TERRAIN_TUNDRA:225, TERRAIN_COAST:183, TERRAIN_SNOW:97, TERRAIN_BURNING_SANDS:35, TERRAIN_FIELDS_OF_PERDITION:23	FEATURE_WALLS:254, FEATURE_FOREST:168, FEATURE_FALLOUT:35, FEATURE_JUNGLE:26, FEATURE_ICE:8, FEATURE_FLOOD_PLAINS:6, FEATURE_DOOR_NORTH_CLOSED:4, FEATURE_DOOR_WEST_CLOSED:3	BONUS_MARBLE:1, BONUS_MANA:1, BONUS_IVORY:1, BONUS_TOAD:1	IMPROVEMENT_GUARDIAN:6, IMPROVEMENT_PORTAL:4, IMPROVEMENT_MUSHROOMS:4, IMPROVEMENT_TOWER:2, IMPROVEMENT_DUNGEON:2, IMPROVEMENT_DRAGON_BONES:1, IMPROVEMENT_MONSTER_SKELETON:1
Assets/XML/Scenarios/The Momus.CivBeyondSwordWBSave	115475	TXT_KEY_WB_THE_MOMUS_DESC	40	24	960	WORLDSIZE_TINY	35	10	11	70	NONE:25, CIVILIZATION_BALSERAPHS:4, CIVILIZATION_LANUN:1, CIVILIZATION_AMURITES:1, CIVILIZATION_HIPPUS:1, CIVILIZATION_LUCHUIRP:1	UNIT_ARCHER:19, UNIT_SWORDSMAN:10, UNIT_SETTLER:10, UNIT_SUPPLIES:8, UNIT_WORKER:8, UNIT_AXEMAN:2, UNIT_KRAKEN:2, UNIT_MOROI:2	TERRAIN_GRASS:287, TERRAIN_COAST:265, TERRAIN_OCEAN:176, TERRAIN_PLAINS:121, TERRAIN_TUNDRA:59, TERRAIN_DESERT:23, TERRAIN_MARSH:20, TERRAIN_SNOW:9	FEATURE_FOREST:156, FEATURE_FLOOD_PLAINS:7, FEATURE_JUNGLE:5, FEATURE_OASIS:2		IMPROVEMENT_MAELSTROM:1
Assets/XML/Scenarios/The Radiant Guard.CivBeyondSwordWBSave	178505	TXT_KEY_WB_THE_RADIANT_GUARD_DESC	52	32	1664	WORLDSIZE_SMALL	35	4	5	98	NONE:31, CIVILIZATION_LANUN:1, CIVILIZATION_MERCURIANS:1, CIVILIZATION_INFERNAL:1, CIVILIZATION_BANNOR:1	UNIT_AXEMAN:11, UNIT_LONGBOWMAN:10, UNIT_HELLHOUND:10, UNIT_SPECTRE:8, UNIT_RADIANT_GUARD:5, UNIT_MAGE:4, UNIT_RANGER:4, UNIT_HUNTER:4	TERRAIN_GRASS:567, TERRAIN_PLAINS:282, TERRAIN_COAST:249, TERRAIN_BROKEN_LANDS:201, TERRAIN_TUNDRA:192, TERRAIN_DESERT:82, TERRAIN_OCEAN:40, TERRAIN_SNOW:31	FEATURE_FOREST:333, FEATURE_FLAMES:19, FEATURE_JUNGLE:17, FEATURE_OASIS:2, FEATURE_FLOOD_PLAINS:2	BONUS_CORN:2	IMPROVEMENT_TOWER:5, IMPROVEMENT_CASTLE:2, IMPROVEMENT_CITADEL:1
Assets/XML/Scenarios/The Splintered Court.CivBeyondSwordWBSave	287104	TXT_KEY_WB_SPLINTERED_COURT_DESC	52	52	2704	WORLDSIZE_LARGE	35	9	2	64	NONE:26, CIVILIZATION_LJOSALFAR:3, CIVILIZATION_SVARTALFAR:3, CIVILIZATION_DOVIELLO:1, CIVILIZATION_LANUN:1, CIVILIZATION_CALABIM:1	UNIT_SETTLER:23, UNIT_ARCHER:14, UNIT_HUNTER:10, UNIT_WORKER:9, UNIT_ADEPT:2, UNIT_DUIN:1, UNIT_DISCIPLE_FELLOWSHIP_OF_LEAVES:1, UNIT_ARCHER_SCORPION_CLAN:1	TERRAIN_GRASS:1506, TERRAIN_OCEAN:795, TERRAIN_COAST:288, TERRAIN_MARSH:58, TERRAIN_PLAINS:57	FEATURE_FOREST:970, FEATURE_JUNGLE:92	BONUS_FRUIT_OF_YGGDRASIL:1	IMPROVEMENT_YGGDRASIL:1, IMPROVEMENT_PIRATE_COVE:1
Assets/XML/Scenarios/Wages of Sin Calabim.CivBeyondSwordWBSave	371294	TXT_KEY_WB_WAGES_OF_SIN_DESC	72	44	3168	WORLDSIZE_LARGE	35	8	31	247	NONE:27, CIVILIZATION_MALAKIM:1, CIVILIZATION_CALABIM:1, CIVILIZATION_LJOSALFAR:1, CIVILIZATION_SVARTALFAR:1, CIVILIZATION_ELOHIM:1	UNIT_LONGBOWMAN:25, UNIT_WORKER:15, UNIT_HUNTER:14, UNIT_ARCHER:13, UNIT_SUPPLIES:12, UNIT_AXEMAN:10, UNIT_LION:9, UNIT_BEAR:8	TERRAIN_GRASS:1510, TERRAIN_PLAINS:452, TERRAIN_COAST:390, TERRAIN_OCEAN:240, TERRAIN_TUNDRA:212, TERRAIN_DESERT:120, TERRAIN_BROKEN_LANDS:95, TERRAIN_SNOW:75	FEATURE_FOREST:407, FEATURE_JUNGLE:94, FEATURE_FOREST_BURNT:24, FEATURE_FOREST_ANCIENT:19, FEATURE_FOREST_NEW:15, FEATURE_FLOOD_PLAINS:14, FEATURE_SCRUB:12, FEATURE_OASIS:5	BONUS_COW:43, BONUS_CORN:29, BONUS_RICE:19, BONUS_MANA:14, BONUS_FISH:12, BONUS_PEARL:8, BONUS_CLAM:7, BONUS_HORSE:7	IMPROVEMENT_DUNGEON:8, IMPROVEMENT_GOODY_HUT:7, IMPROVEMENT_BARROW:5, IMPROVEMENT_BEAR_DEN:4, IMPROVEMENT_GOBLIN_FORT:4, IMPROVEMENT_TOWER:4, IMPROVEMENT_RUINS:3, IMPROVEMENT_FORT:3
Assets/XML/Scenarios/Wages of Sin Malakim.CivBeyondSwordWBSave	370422	TXT_KEY_WB_WAGES_OF_SIN_DESC	72	44	3168	WORLDSIZE_LARGE	35	8	31	244	NONE:27, CIVILIZATION_MALAKIM:1, CIVILIZATION_CALABIM:1, CIVILIZATION_LJOSALFAR:1, CIVILIZATION_SVARTALFAR:1, CIVILIZATION_ELOHIM:1	UNIT_LONGBOWMAN:25, UNIT_WORKER:15, UNIT_HUNTER:14, UNIT_ARCHER:13, UNIT_SUPPLIES:12, UNIT_AXEMAN:10, UNIT_LION:9, UNIT_BEAR:8	TERRAIN_GRASS:1510, TERRAIN_PLAINS:452, TERRAIN_COAST:390, TERRAIN_OCEAN:240, TERRAIN_TUNDRA:212, TERRAIN_DESERT:120, TERRAIN_BROKEN_LANDS:95, TERRAIN_SNOW:75	FEATURE_FOREST:407, FEATURE_JUNGLE:94, FEATURE_FOREST_BURNT:24, FEATURE_FOREST_ANCIENT:19, FEATURE_FOREST_NEW:15, FEATURE_FLOOD_PLAINS:14, FEATURE_SCRUB:12, FEATURE_OASIS:5	BONUS_COW:41, BONUS_CORN:28, BONUS_MANA:15, BONUS_RICE:13, BONUS_PEARL:10, BONUS_PIG:8, BONUS_COPPER:8, BONUS_HORSE:7	IMPROVEMENT_DUNGEON:8, IMPROVEMENT_GOODY_HUT:7, IMPROVEMENT_BARROW:5, IMPROVEMENT_BEAR_DEN:4, IMPROVEMENT_GOBLIN_FORT:4, IMPROVEMENT_TOWER:4, IMPROVEMENT_RUINS:3, IMPROVEMENT_FORT:3
PrivateMaps/Fall From Heaven II Scenarios.CivBeyondSwordWBSave	86144	TXT_KEY_WB_FALL_FROM_HEAVEN_SCENARIOS_DESC	32	32	1024	WORLDSIZE_DUEL	35	2	2	0	NONE:33, CIVILIZATION_BANNOR:1, CIVILIZATION_ILLIANS:1		TERRAIN_GRASS:1024		BONUS_CORN:7, BONUS_COW:7, BONUS_IRON:1, BONUS_HORSE:1	
PrivateMaps/Erebus.py	136863	procedural map script														
