field	token	count
BonusType	BONUS_IVORY	26
BonusType	BONUS_GEMS	26
BonusType	BONUS_CLAM	26
BonusType	BONUS_GUNPOWDER	25
BonusType	BONUS_CRAB	25
BonusType	BONUS_DEER	23
BonusType	BONUS_SUGAR	22
BonusType	BONUS_PEARL	22
BonusType	BONUS_WHEAT	20
BonusType	BONUS_COTTON	19
BonusType	BONUS_MITHRIL	16
BonusType	BONUS_WHALE	11
BonusType	BONUS_MANA_DEATH	3
BonusType	BONUS_MANA_SHADOW	2
BonusType	BONUS_MANA_SUN	2
BonusType	BONUS_MANA_FIRE	1
BonusType	BONUS_MANA_ICE	1
BonusType	BONUS_TOAD	1
BonusType	BONUS_FRUIT_OF_YGGDRASIL	1
ImprovementType	IMPROVEMENT_TOWER	37
ImprovementType	IMPROVEMENT_BARROW	34
ImprovementType	IMPROVEMENT_DUNGEON	31
ImprovementType	IMPROVEMENT_GOODY_HUT	24
ImprovementType	IMPROVEMENT_LION_DEN	22
ImprovementType	IMPROVEMENT_BEAR_DEN	22
ImprovementType	IMPROVEMENT_RUINS	21
ImprovementType	IMPROVEMENT_FARM	19
ImprovementType	IMPROVEMENT_GOBLIN_FORT	16
ImprovementType	IMPROVEMENT_SNAKE_PILLAR	16
ImprovementType	IMPROVEMENT_COTTAGE	15
ImprovementType	IMPROVEMENT_FORT	14
ImprovementType	IMPROVEMENT_WARNING_POST	11
ImprovementType	IMPROVEMENT_MINE	9
ImprovementType	IMPROVEMENT_SHIP_WRECK	8
ImprovementType	IMPROVEMENT_CAMP	8
ImprovementType	IMPROVEMENT_CITY_RUINS	7
ImprovementType	IMPROVEMENT_HAMLET	7
ImprovementType	IMPROVEMENT_GRAVEYARD	6
ImprovementType	IMPROVEMENT_MUSHROOMS	6
ImprovementType	IMPROVEMENT_GUARDIAN	6
ImprovementType	IMPROVEMENT_WINERY	5
ImprovementType	IMPROVEMENT_CASTLE	5
ImprovementType	IMPROVEMENT_PORTAL	5
ImprovementType	IMPROVEMENT_PASTURE	4
ImprovementType	IMPROVEMENT_MANA_SHADOW	4
ImprovementType	IMPROVEMENT_REMNANTS_OF_PATRIA	3
ImprovementType	IMPROVEMENT_PIRATE_COVE	3
ImprovementType	IMPROVEMENT_JUNGLE_ALTAR	3
ImprovementType	IMPROVEMENT_PENGUINS	3
ImprovementType	IMPROVEMENT_MANA_DEATH	2
ImprovementType	IMPROVEMENT_LUMBERMILL	2
ImprovementType	IMPROVEMENT_PLANTATION	2
ImprovementType	IMPROVEMENT_MIRROR_OF_HEAVEN	2
ImprovementType	IMPROVEMENT_MONSTER_SKELETON	2
ImprovementType	IMPROVEMENT_POOL_OF_TEARS	2
ImprovementType	IMPROVEMENT_BROKEN_SEPULCHER	2
ImprovementType	IMPROVEMENT_PYRE_OF_THE_SERAPHIC	1
ImprovementType	IMPROVEMENT_FISHING_BOATS	1
ImprovementType	IMPROVEMENT_VILLAGE	1
ImprovementType	IMPROVEMENT_NECROTOTEM	1
ImprovementType	IMPROVEMENT_CAGE	1
ImprovementType	IMPROVEMENT_LETUM_FRIGUS	1
ImprovementType	IMPROVEMENT_DRAGON_BONES	1
ImprovementType	IMPROVEMENT_MAELSTROM	1
ImprovementType	IMPROVEMENT_CITADEL	1
ImprovementType	IMPROVEMENT_YGGDRASIL	1
UnitType	UNIT_ARCHER	156
UnitType	UNIT_WORKER	107
UnitType	UNIT_LONGBOWMAN	101
UnitType	UNIT_AXEMAN	68
UnitType	UNIT_SETTLER	66
UnitType	UNIT_SUPPLIES	61
UnitType	UNIT_HUNTER	60
UnitType	UNIT_WARRIOR	50
UnitType	UNIT_SWORDSMAN	48
UnitType	UNIT_LION	45
UnitType	UNIT_ARCHER_SCORPION_CLAN	36
UnitType	UNIT_SKELETON	30
UnitType	UNIT_SCOUT	29
UnitType	UNIT_HORSEMAN	29
UnitType	UNIT_MANES	29
UnitType	UNIT_BEAR	26
UnitType	UNIT_GORILLA	25
UnitType	UNIT_WOLF	25
UnitType	UNIT_SPECTRE	24
UnitType	UNIT_DIVIDED_SOUL	22
UnitType	UNIT_ADEPT	19
UnitType	UNIT_GIANT_SPIDER	19
UnitType	UNIT_GOBLIN_SCORPION_CLAN	19
UnitType	UNIT_JAVELIN_THROWER	18
UnitType	UNIT_CHAMPION	17
UnitType	UNIT_HELLHOUND	17
UnitType	UNIT_HILL_GIANT	17
UnitType	UNIT_WOLF_RIDER	16
UnitType	UNIT_PYRE_ZOMBIE	15
UnitType	UNIT_GOBLIN	15
UnitType	UNIT_POLAR_BEAR	14
UnitType	UNIT_NIGHTWATCH	12
UnitType	UNIT_WOOD_GOLEM	12
UnitType	UNIT_MOROI	11
UnitType	UNIT_LIGHTBRINGER	10
UnitType	UNIT_WOLF_PACK	10
UnitType	UNIT_BABY_SPIDER	10
UnitType	UNIT_ELEPHANT	10
UnitType	UNIT_PIT_BEAST	10
UnitType	UNIT_LIZARDMAN	9
UnitType	UNIT_WRAITH	8
UnitType	UNIT_MONK	8
UnitType	UNIT_FROSTLING_WOLF_RIDER	8
UnitType	UNIT_FROSTLING	8
UnitType	UNIT_RANGER	8
UnitType	UNIT_DEVOUT	7
UnitType	UNIT_DECIUS	7
UnitType	UNIT_VAMPIRE	7
UnitType	UNIT_DISCIPLE_THE_ASHEN_VEIL	7
UnitType	UNIT_CAMEL_ARCHER	6
UnitType	UNIT_FYRDWELL	6
UnitType	UNIT_DISCIPLE_EMPYREAN	6
UnitType	UNIT_IMP	6
UnitType	UNIT_MERCHANT	6
UnitType	UNIT_DWARVEN_SLINGER	6
UnitType	UNIT_TIGER	6
UnitType	EQUIPMENT_TREASURE	6
UnitType	UNIT_GALLEON	6
UnitType	UNIT_LIZARDMAN_RANGER	6
UnitType	UNIT_SLAVE	6
UnitType	UNIT_ASSASSIN	6
UnitType	UNIT_LION_PRIDE	5
UnitType	UNIT_DISCIPLE_THE_ORDER	5
UnitType	UNIT_RADIANT_GUARD	5
UnitType	UNIT_CARAVEL	5
UnitType	UNIT_LIZARDMAN_DRUID	4
UnitType	UNIT_ARTIST	4
UnitType	UNIT_LUCIAN	4
UnitType	UNIT_WORKBOAT	4
UnitType	UNIT_GIANT_TORTOISE	4
UnitType	UNIT_FREAK	4
UnitType	UNIT_OGRE	4
UnitType	UNIT_SAND_LION	4
UnitType	UNIT_BALOR	4
UnitType	UNIT_HYBOREM	4
UnitType	UNIT_GALLEY	4
UnitType	UNIT_BEASTMAN	4
UnitType	UNIT_MAGE	4
UnitType	UNIT_ANGEL	4
UnitType	UNIT_SCIENTIST	4
UnitType	UNIT_SEA_SERPENT	4
UnitType	UNIT_SUCCUBUS	3
UnitType	UNIT_COMMANDER	3
UnitType	UNIT_CATAPULT	3
UnitType	UNIT_BOARDING_PARTY	3
UnitType	UNIT_PRIEST_OF_WINTER	3
UnitType	UNIT_QUEEN_OF_THE_LINE	3
UnitType	UNIT_LICH	3
UnitType	UNIT_DISCIPLE_FELLOWSHIP_OF_LEAVES	3
UnitType	UNIT_GHOST	2
UnitType	UNIT_CROSSBOWMAN	2
UnitType	UNIT_AURIC	2
UnitType	UNIT_DROWN	2
UnitType	UNIT_MERCENARY	2
UnitType	UNIT_ARCHMAGE	2
UnitType	UNIT_GRIFFON	2
UnitType	UNIT_BLOODPET	2
UnitType	UNIT_KRAKEN	2
UnitType	UNIT_GUARDIAN_VINES	2
UnitType	UNIT_ARCANE_BARGE	2
UnitType	UNIT_PRIEST_OF_THE_VEIL	2
UnitType	UNIT_HIGH_PRIEST_OF_THE_VEIL	2
UnitType	UNIT_SHAMAN	2
UnitType	UNIT_BASIUM	2
UnitType	UNIT_ENGINEER	2
UnitType	UNIT_DISEASED_CORPSE	2
UnitType	UNIT_NYXKIN	2
UnitType	UNIT_PROPHET	2
UnitType	UNIT_BARNAXUS	1
UnitType	UNIT_MUIRIN	1
UnitType	UNIT_CRUSADER	1
UnitType	UNIT_TAR_DEMON	1
UnitType	UNIT_MESHABBER	1
UnitType	UNIT_STONESKIN_OGRE	1
UnitType	UNIT_CLOCKWORK_GOLEM	1
UnitType	UNIT_GREATER_WEREWOLF	1
UnitType	UNIT_OGRE_WARCHIEF	1
UnitType	UNIT_DRIFA	1
UnitType	UNIT_ABASHI	1
UnitType	UNIT_SONS_OF_ASENA	1
UnitType	UNIT_MINOTAUR	1
UnitType	UNIT_BONE_GOLEM	1
UnitType	UNIT_MUD_GOLEM	1
UnitType	UNIT_RATHA	1
UnitType	UNIT_ARQUEBUS	1
UnitType	UNIT_GUYBRUSH	1
UnitType	UNIT_IRA	1
UnitType	UNIT_MARDERO	1
UnitType	UNIT_BEAST_OF_AGARES	1
UnitType	UNIT_DUIN	1
CivType	NONE	604
CivType	CIVILIZATION_INFERNAL	12
CivType	CIVILIZATION_MALAKIM	9
CivType	CIVILIZATION_CALABIM	9
CivType	CIVILIZATION_HIPPUS	9
CivType	CIVILIZATION_LANUN	9
CivType	CIVILIZATION_DOVIELLO	8
CivType	CIVILIZATION_BANNOR	8
CivType	CIVILIZATION_ILLIANS	8
CivType	CIVILIZATION_ELOHIM	7
CivType	CIVILIZATION_SVARTALFAR	7
CivType	CIVILIZATION_SHEAIM	7
CivType	CIVILIZATION_LJOSALFAR	6
CivType	CIVILIZATION_BALSERAPHS	6
CivType	CIVILIZATION_SIDAR	4
CivType	CIVILIZATION_CLAN_OF_EMBERS	4
CivType	CIVILIZATION_LUCHUIRP	4
CivType	CIVILIZATION_MERCURIANS	4
CivType	CIVILIZATION_KHAZAD	3
CivType	CIVILIZATION_AMURITES	3
CivType	CIVILIZATION_GRIGORI	2
CivType	CIVILIZATION_KURIOTATES	2
